"Station","Latitude","Longitude"
"057001","-30.3659"," 152.2315"
"056007","-29.9315"," 151.2945"
"078039","-36.1481"," 142.8597"
"072050","-36.0355"," 147.2707"
"092008","-42.0117"," 148.0747"
"064024","-31.5622"," 148.9547"
"074053","-35.5168"," 147.0344"
"073023","-34.6057"," 148.7869"
"094140","-42.4406"," 147.2278"
"079031","-36.9865"," 143.2727"
"031046","-17.6770"," 145.1150"
"019012","-32.7053"," 138.7796"
"077035","-35.8975"," 141.9950"
"062032","-32.3592"," 149.9484"
"039186","-24.9297"," 152.1983"
"088050","-37.1107"," 144.8356"
"051042","-30.9252"," 147.8690"
"025056","-34.4177"," 139.7822"
"010120","-31.9092"," 117.0986"
"030137","-19.6347"," 145.7886"
"007130","-26.0747"," 116.6942"
"005034","-22.4558"," 116.0508"
"021009","-33.4660"," 138.5412"
"012176","-28.6781"," 120.9706"
"040196","-28.1400"," 153.4293"
"046006","-29.0885"," 141.2033"
"075081","-35.0365"," 144.4560"
"014817","-15.3482"," 130.2763"
"035016","-23.0856"," 148.0236"
"032023","-18.5819"," 146.2839"
"074064","-35.2217"," 146.7236"
"063029","-33.7440"," 149.1046"
"077051","-35.9417"," 141.9350"
"005022","-21.9750"," 116.0653"
"088056","-37.1715"," 143.7008"
"044166","-28.5128"," 148.4017"
"005032","-21.5703"," 115.8786"
"004046","-20.6739"," 120.2044"
"073100","-33.9119"," 148.4383"
"024513","-34.6511"," 139.3631"
"094031","-42.9078"," 147.2931"
"028000","-15.5581"," 144.4453"
"005015","-22.1039"," 118.4703"
"031049","-17.0928"," 145.7906"
"004068","-19.7789"," 120.6417"
"004041","-20.8508"," 120.6961"
"005030","-22.5064"," 114.7944"
"012187","-29.4711"," 121.8272"
"005006","-22.9119"," 116.2903"
"068048","-34.8720"," 150.6180"
"010030","-30.7767"," 118.1992"
"050040","-33.6385"," 146.9739"
"081058","-36.6007"," 143.9412"
"036016","-23.2761"," 145.4008"
"065030","-32.5192"," 148.5187"
"040079","-27.5831"," 152.3806"
"040083","-27.5428"," 152.2817"
"041018","-27.9317"," 151.9058"
"029121","-20.5958"," 139.6939"
"041370","-28.1236"," 150.5431"
"026014","-37.6051"," 140.5793"
"095012","-42.4814"," 146.7114"
"047031","-31.8803"," 141.5930"
